Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
BERRYSBURG STP,0.016125,0.00020913154870451698,4.889745973270872e-05,-76.815078,40.599789,Discharge Monitoring Reports
BERWICK AREA JT SEW AUTH,1.38554166666667,0.017969641832225634,0.014579258286812866,-76.26222,41.04243,Discharge Monitoring Reports
BERWICK TWP STP,0.05825,0.0007554674550101155,0.0002528787621203274,-77.014671,39.873076,Discharge Monitoring Reports
BESSEMER STP,0.133786666666667,0.0017351325764970572,0.0007326784306431696,-79.90064,39.8487,Discharge Monitoring Reports
BETHEL COURT PLAN STP,0.0075166666666666,9.74866444090298e-05,1.8416574250588028e-05,-79.677535,39.943082,Discharge Monitoring Reports
BETHEL KAUNEONGA LAKE STP,0.27175,0.0035244340068497667,0.0018140414130334828,-74.824556,41.687806,Discharge Monitoring Reports
BETHEL TOWNSHIP STP,0.0082484166666666,0.00010697700166574486,2.0740789949577534e-05,-78.180259,39.752619,Discharge Monitoring Reports
BETHLEHEM CITY STP,18.0,0.2780276487266,0.3877092997083256,-75.336528,40.620028,Clean Watershed Needs Survey
BEVERLY SEWERAGE AUTHORITY,0.5295,0.0068672964365297205,0.004258682141758046,-74.92367,40.0678,Discharge Monitoring Reports
BIG BAY SEWER DISTRICT STP,0.028475,0.00036930361856503076,0.00010121477210466765,-76.121083,43.241278,Discharge Monitoring Reports
BIG HILL MEMBRANE FILTRATION FACILITY,0.0002,2.5938796738544743e-06,1.779147036942267e-07,-77.237177,39.991408,Discharge Monitoring Reports
BIG RUN AREA WWTP,0.0403333333333333,0.0005230990675606518,0.00015801003955259954,-78.891667,40.966667,Discharge Monitoring Reports
BIG RUN STP,0.549113333333333,0.007121669569879046,0.004461533305242444,-79.926154,39.852527,Discharge Monitoring Reports
BIGLERVILLE STP,0.268916666666667,0.0034876873781368328,0.0017898792444714369,-77.2483,39.91914,Discharge Monitoring Reports
BINGHAMTON (C) CSO'S,7.56055555555556,0.09805585689301544,0.12780405168913492,-75.91208,42.09713,Discharge Monitoring Reports
BINGHAMTON-JOHNSON (C) JNT STP,,,,-75.963333,42.098056,Discharge Monitoring Reports
BIRD ISLAND STP,0.479346093189964,0.006216830439335001,0.003749601499178395,-78.904722,42.920556,Discharge Monitoring Reports
BIRDSBORO STP,0.9,0.01390138243633,0.008394819753785978,-75.8085,40.257,Clean Watershed Needs Survey
BIRDSBORO STP,0.972833333333333,0.012617063046907134,0.009273608933484565,-75.7964,40.26668,Discharge Monitoring Reports
BLACK LICK STP,0.1096525,0.0014221269546866387,0.0005680458558009119,-79.192517,40.480851,Discharge Monitoring Reports
BLACKBERRY HILL SAN SD STP,,,,-73.60972,41.40937,Discharge Monitoring Reports
BLACKLEGS STP,0.0358669166666667,0.0004651723305274951,0.0001359800679553315,-79.445873,40.50451,Discharge Monitoring Reports
BLACKLICK VALLEY MUNIC AUTH WWTP,0.110066666666667,0.0014274984471779168,0.0005707922571853256,-78.971427,40.445123,Discharge Monitoring Reports
BLAIRSVILLE BORO STP,0.697083333333333,0.009040751446580278,0.006054183986730938,-79.290325,40.438102,Discharge Monitoring Reports
BLAIRSVILLE STP,0.72,0.011121105949064,0.006309978844302222,-79.2906,40.4384,Clean Watershed Needs Survey
BLIND BROOK SD WWTP,3.61666666666667,0.04690599076886845,0.04975462402155884,-73.690778,40.96475,Discharge Monitoring Reports
